kingdom,phylum,class,order,family,genus,species,url
Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Mazama,Mazama temama,mazama-temama
Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus virginianus,odocoileus-virginianus
Animalia,Chordata,Mammalia,Artiodactyla,Tayassuidae,Pecari,Pecari tajacu,pecari-tajacu
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis latrans,canis-latrans
Animalia,Chordata,Mammalia,Carnivora,Canidae,Urocyon,Urocyon cinereoargenteus,urocyon-cinereoargenteus
Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pardalis,leopardus-pardalis
Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,lynx-rufus
Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera onca,panthera-onca
Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,puma-concolor
Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Mephitis,Mephitis macroura,mephitis-macroura
Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Bassariscus,Bassariscus astutus,bassariscus-astutus
Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Nasua,Nasua narica,nasua-narica
Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,Procyon lotor,procyon-lotor
Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus americanus,ursus-americanus
Animalia,Chordata,Mammalia,Chiroptera,Emballonuridae,Balantiopteryx,Balantiopteryx plicata,balantiopteryx-plicata
Animalia,Chordata,Mammalia,Chiroptera,Emballonuridae,Rhynchonycteris,Rhynchonycteris naso,rhynchonycteris-naso
Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Nyctinomops,Nyctinomops femorosaccus,nyctinomops-femorosaccus
Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Tadarida,Tadarida brasiliensis,tadarida-brasiliensis
Animalia,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops,Mormoops megalophylla,mormoops-megalophylla
Animalia,Chordata,Mammalia,Chiroptera,Mormoopidae,Pteronotus,Pteronotus davyi,pteronotus-davyi
Animalia,Chordata,Mammalia,Chiroptera,Mormoopidae,Pteronotus,Pteronotus parnellii,pteronotus-parnellii
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Anoura,Anoura geoffroyi,anoura-geoffroyi
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus,Artibeus intermedius,artibeus-intermedius
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,artibeus-jamaicensis
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,artibeus-lituratus
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Carollia,Carollia brevicauda,carollia-brevicauda
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,carollia-perspicillata
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Carollia,Carollia sowelli,carollia-sowelli
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Carollia,Carollia subrufa,carollia-subrufa
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Dermanura,Dermanura phaeotis,dermanura-phaeotis
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Dermanura,Dermanura tolteca,dermanura-tolteca
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus,Desmodus rotundus,desmodus-rotundus
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga morenoi,glossophaga-morenoi
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,glossophaga-soricina
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris yerbabuenae,leptonycteris-yerbabuenae
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Macrotus,Macrotus californicus,macrotus-californicus
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Macrotus,Macrotus waterhousii,macrotus-waterhousii
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,sturnira-lilium
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,sturnira-ludovici
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Sturnira,Sturnira parvidens,sturnira-parvidens
Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Antrozous,Antrozous pallidus,antrozous-pallidus
Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus fuscus,eptesicus-fuscus
Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis californicus,myotis-californicus
Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis velifer,myotis-velifer
Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis yumanensis,myotis-yumanensis
Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Parastrellus,Parastrellus hesperus,parastrellus-hesperus
Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,dasypus-novemcinctus
Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,Didelphis marsupialis,didelphis-marsupialis
Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,Didelphis virginiana,didelphis-virginiana
Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus alleni,lepus-alleni
Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus californicus,lepus-californicus
Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus flavigularis,lepus-flavigularis
Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus audubonii,sylvilagus-audubonii
Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus cunicularius,sylvilagus-cunicularius
Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus floridanus,sylvilagus-floridanus
Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirella,Tapirella bairdii,tapirella-bairdii
Animalia,Chordata,Mammalia,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,bradypus-variegatus
Animalia,Chordata,Mammalia,Pilosa,Megalonychidae,Choloepus,Choloepus hoffmanni,choloepus-hoffmanni
Animalia,Chordata,Mammalia,Pilosa,Myrmecophagidae,Tamandua,Tamandua mexicana,tamandua-mexicana
Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,Alouatta palliata,alouatta-palliata
Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,Alouatta pigra,alouatta-pigra
Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles,Ateles geoffroyi,ateles-geoffroyi
Animalia,Chordata,Mammalia,Primates,Cebidae,Cebus,Cebus capucinus,cebus-capucinus
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Baiomys,Baiomys musculus,baiomys-musculus
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Baiomys,Baiomys taylori,baiomys-taylori
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Caryomys,Caryomys eva,caryomys-eva
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma lepida,neotoma-lepida
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma leucodon,neotoma-leucodon
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma mexicana,neotoma-mexicana
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotomodon,Neotomodon alstoni,neotomodon-alstoni
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oligoryzomys,Oligoryzomys fulvescens,oligoryzomys-fulvescens
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oryzomys,Oryzomys alfaroi,oryzomys-alfaroi
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oryzomys,Oryzomys chapmani,oryzomys-chapmani
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oryzomys,Oryzomys couesi,oryzomys-couesi
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oryzomys,Oryzomys saturatior,oryzomys-saturatior
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Osgoodomys,Osgoodomys banderanus,osgoodomys-banderanus
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ototylomys,Ototylomys phyllotis,ototylomys-phyllotis
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus aztecus,peromyscus-aztecus
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus beatae,peromyscus-beatae
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus boylii,peromyscus-boylii
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus difficilis,peromyscus-difficilis
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus eremicus,peromyscus-eremicus
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus furvus,peromyscus-furvus
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus grandis,peromyscus-grandis
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus gratus,peromyscus-gratus
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus guatemalensis,peromyscus-guatemalensis
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus leucopus,peromyscus-leucopus
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus levipes,peromyscus-levipes
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus,peromyscus-maniculatus
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus megalops,peromyscus-megalops
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus melanocarpus,peromyscus-melanocarpus
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus melanophrys,peromyscus-melanophrys
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus melanotis,peromyscus-melanotis
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus mexicanus,peromyscus-mexicanus
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus nudipes,peromyscus-nudipes
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus spicilegus,peromyscus-spicilegus
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus zarhynchus,peromyscus-zarhynchus
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys fulvescens,reithrodontomys-fulvescens
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys megalotis,reithrodontomys-megalotis
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys sumichrasti,reithrodontomys-sumichrasti
